ID;Titulo;Genero;Año;Palabras_Clave;Mensaje_Bot
57;Mi Villano Favorito;Animacion/Comedia/Familia;2010;gru-minions-adopcion-alegria-sorpresa;"Si te gustan las comedias tiernas con personajes locos como los Minions, esta peli te hara reir."
58;Ratatouille;Animacion/Comedia/Familia;2007;rata-cocina-paris-alegria-sorpresa;"Si andas buscando motivacion para perseguir tus sueños sin importar de donde vemgas, Ratatouille es pura magia."
59;Kung Fu Panda;Animacion/Accion/Comedia;2008;oso-arte marcial-destino-alegria-sorpresa;"Si quieres risas mezcladas con buenas peleas y lecciones de vida, Po te demostrara de que esta hecho."
60;Monsters Inc.;Animacion/Comedia/Familia;2001;monstruos-sustos-niña-alegria-sorpresa;"Si quieres pasar un rato divertido viendo monstruos que dan risa en vez de miedo, Monsters Inc es ideal."
61;Psicosis;Misterio/Thriller/Terror;1960;ducha-hotel-madre-miedo-sorpresa;"Si te gustan los clasicos del suspenso psicologico que cambiaron el cine, Psicosis te sorprendera."
62;Se7en: Los Siete Pecados Capitales;Misterio/Thriller/Crimen;1995;detectives-pecados-lluvia-ira-sorpresa;"Si buscas un thriller policial oscuro e intenso con un final que te dejara en shock, Se7en es para ti."
63;El Sexto Sentido;Misterio/Drama/Paranormal;1999;fantasmas-niño-psiquiatra-miedo-sorpresa;"Si te fascinan los giros de guion inesperados y los misterios sobrenaturales, esta peli te atrapara."
64;Los Otros;Misterio/Terror/Drama;2001;casa-niebla-niños-miedo-sorpresa;"Si quieres una atmosfera de misterio helado dentro de una casa a oscuras, Los Otros te atrapara."
65;Entre Brochas y Codigos (Knives Out);Misterio/Comedia/Crimen;2019;mansion-herencia-detective-sorpresa-alegria;"Si te divierte resolver acertijos familiares llenos de mentiras y sorpresas, esta peli es super entretenida."
66;Isla Siniestra (Shutter Island);Misterio/Thriller/Drama;2010;hospital-isla-locura-miedo-sorpresa;"Si andas con ganas de un misterio psicologico que juegue con tu mente, Shutter Island te dejara pensando."
67;El Silencio de los Inocentes;Thriller/Misterio/Crimen;1991;hannibal-fbi-mente-miedo-sorpresa;"Si buscas tension de alto nivel y una batalla de mentes magistral, este thriller es insuperable."
68;Zodiaco;Misterio/Drama/Crimen;2007;asesino-cartas-periodista-ira-sorpresa;"Si te fascinan las historias reales de detectives obsesionados con atrapar a un criminal enfustrado."
69;Gone Girl (Perdida);Misterio/Thriller/Drama;2014;esposa-desaparicion-prensa-ira-sorpresa;"Si quieres ver un drama de pareja retorcido lleno de sorpresas macabras, Perdida te dejara sin palabras."
70;Prisioneros (Prisoners);Thriller/Drama/Misterio;2013;secuestro-padre-policia-ira-tristeza;"Si buscas una pelicula tensa, donde la desesperacion de un padre lleva el drama al limite."
71;Diario de una Pasion (The Notebook);Romance/Drama/Historico;2004;cartas-amor-lluvia-tristeza-alegria;"Si andas romantico o con ganas de suspirar por un amor apasionado, El Diario de Noah te enamorara."
72;La La Land (Ciudad de Sueños);Romance/Musica/Drama;2016;baile-jazz-sueños-alegria-tristeza;"Si te apasiona la musica, los colores y el romance agridulce, La La Land es una joya imperdible."
73;500 Dias con Ella;Romance/Comedia/Drama;2009;amor-despecho-recuerdos-tristeza-sorpresa;"Si andas despechado o saliendo de una relacion, esta peli te ayudara a ver el amor con mas realidad."
74;Cuestion de Tiempo (About Time);Romance/Ciencia Ficcion/Drama;2013;tiempo-amor-familia-alegria-tristeza;"Si buscas una historia hermosa sobre valorar cada dia y amar a tu familia, esta peli te llenara el alma."
75;Orgullo y Prejuicio;Romance/Drama/Historico;2005;baile-cartas-inglaterra-alegria-tristeza;"Si te gustan los romances clasicos llenos de miradas intensas y tension elegante, es perfecta."
76;Antes del Amanecer;Romance/Drama/Viajes;1995;viena-tren-conversacion-alegria-sorpresa;"Si andas en plan filosofico y romantico, esta caminata nocturna entre dos desconocidos te encantara."
77;Eterno Resplandor de una Mente sin Recuerdos;Romance/Ciencia Ficcion/Drama;2004;olvido-mente-despecho-tristeza-sorpresa;"Si tienes el corazon roto y quisieras borrar el pasado, esta peli reflejara todo lo que sientes."
78;Votos de Amor (The Vow);Romance/Drama/Historico;2012;memoria-accidente-esposos-tristeza-alegria;"Si buscas un romance de superacion donde el amor lucha contra el olvido, te sacara mas de una lagrima."
79;Bajo la Misma Estrella;Romance/Drama/Juventud;2014;libros-enfermedad-amor-tristeza-despecho;"Si quieres soltar todo el llanto con una historia de amor juvenil conmovedora, esta es la peli."
80;Yo Antes de Ti;Romance/Drama/Familia;2016;silla de ruedas-cuidadora-amor-tristeza-alegria;"Si buscas una pelicula bonita pero que te rompa el corazon en pedazos al final, preparate."
81;Secuestro Express;Drama/Accion/Crimen;2005;caracas-peligro-calle-ira-miedo;"Si quieres ver cine venezolano urbano intenso que refleje la realidad caraqueña de los 2000."
82;Hermano;Drama/Deporte/Accion;2010;futbol-caracas-hermanos-tristeza-ira;"Una joya del cine venezolano sobre la hermandad, el futbol y los sueños en medio de la violencia."
83;Papita,Mani,Toston;Comedia/Romance/Deporte;2013;beisbol-leones-magallanes-alegria-vacilon;"Si quieres reir con la eterna rivalidad del beisbol venezolano y una historia de amor caraqueña."
84;Azul y No Tan Rosa;Drama/Comedia/Familia;2012;fotografo-familia-respeto-alegria-tristeza;"Orgullo del cine venezolano galardonado con el Goya, una historia hermosa sobre la aceptacion."
85;La Hora Cero;Accion/Thriller/Drama;2010;hospitalez-malandro-secuestro-ira-sorpresa;"Cine de accion venezolano a millon: un malandro tomando una clinica por una causa desesperada."
86;El Manzano Azul;Drama/Familia/Aventura;2012;merida-abuelo-campo-tristeza-alegria;"Una pelicula venezolana tierna y hermosa ambientada en los Andes sobre reencontrarse con las raices."
87;Punto y Raya;Comedia/Drama/Bicoastal;2004;frontera-soldados-colombia-alegria-vacilon;"Una comedia clasica venezolana sobre la amistad entre un soldado venezolano y uno colombiano."
88;El Caracazo;Drama/Historico/Guerra;2005;historia-caracas-protesta-ira-tristeza;"Una peli historica venezolana que muestra los eventos cruciales de 1989 con gran impacto."
89;Er Conde Jones;Comedia/Aventura/Accion;2011;er conde-aventura-chistes-alegria-vacilon;"Si quieres humor criollo absurdo con Er Conde del Guacharo para pasar el rato riendo."
90;A Mi Me Gusta;Comedia/Romance/Familia;2008;chef-margarita-amor-alegria-vacilon;"Una comedia romantica venezolana fresca filmada en las playas de la Isla de Margarita."
91;El Padrino (The Godfather);Drama/Crimen/Historico;1972;mafia-familia-poder-ira-sorpresa;"El clasico supremo del cine de mafiosos, perfecto para ver intriga, lealtad y venganza."
92;Cara de Cortada (Scarface);Accion/Drama/Crimen;1983;miami-drogas-dinero-ira-sorpresa;"Si quieres ver el ascenso y caida brutal de Tony Montana en una peli llena de excesos."
93;Pulp Fiction (Tiempos Violentos);Crimen/Drama/Comedia;1994;historias-dialogos-baile-alegria-sorpresa;"Si buscas cine de culto con dialogos geniales, humor negro y personajes inolvidables."
94;Buenos Muchachos (Goodfellas);Crimen/Drama/Historico;1990;mafia-amigos-dinero-ira-alegria;"Si te apasionan las historias reales sobre la vida dentro de la mafia con ritmo frenetico."
95;El Guason (Joker);Drama/Thriller/Crimen;2019;locura-sociedad-origen-ira-tristeza;"Si quieres ver una actuacion impresionante sobre como la sociedad rompe la mente de un hombre."
96;Oppenheimer;Drama/Historico/Misterio;2023;bomba-fisica-historia-sorpresa-ira;"Si buscas drama historico intenso e intelectual sobre la creacion de la bomba atomica."
97;Parasitos (Parasite);Thriller/Drama/Comedia;2019;casa-familia-mentiras-sorpresa-ira;"Una joya coreana que te dejara en shock combinando comedia negra, suspenso y lucha de clases."
98;Gladiador 2;Accion/Drama/Aventura;2024;roma-arena-lucha-ira-sorpresa;"Si buscas accion epica moderna en el coliseo romano cargada de batallas sangrientas."
99;Godzilla Minus One;Ciencia Ficcion/Accion/Terror;2023;monstruo-japon-guerra-miedo-sorpresa;"Una de las mejores peliculas de monstruos que combina terror real con un drama humano tremendo."
100;El Gran Showman;Musical/Drama/Historico;2017;circo-musica-espectaculo-alegria-sorpresa;"Si necesitas llenarte de energia positiva y buena musica con un show inolvidable."
